court_name,street_address,suite,city,state,zip,phone,court_type
Cleveland Immigration Court,1240 East 9th Street,Room 585,Cleveland,OH,44199,216-522-4830,Non-detained
Kansas City Immigration Court,2345 Grand Boulevard,Suite 600,Kansas City,MO,64108,816-329-7700,Non-detained
St. Louis Immigration Court,1222 Spruce Street,Room 1.107,St. Louis,MO,63103,314-552-6600,Non-detained
Omaha Immigration Court,1717 Avenue H,Suite 100,Omaha,NE,68110,402-348-1100,Non-detained
Bloomington Immigration Court,1 Federal Drive,Suite 1850,Fort Snelling,MN,55111,612-725-3801,Non-detained
Fort Snelling Immigration Court,1 Federal Drive,Suite 1850,Fort Snelling,MN,55111,612-725-3801,Non-detained
Salt Lake City Immigration Court,2975 South Decker Lake Drive,Suite 100,West Valley City,UT,84119,801-924-4900,Non-detained
Denver Immigration Court,1961 Stout Street,Suite 1200,Denver,CO,80294,303-844-6212,Non-detained
Aurora Immigration Court,3130 North Oakland Street,,Aurora,CO,80010,303-361-6612,Detained
Las Vegas Immigration Court,3373 Pepper Lane,Suite 200,Las Vegas,NV,89120,702-868-5290,Non-detained
Portland Immigration Court,1220 SW 3rd Avenue,Room 902,Portland,OR,97204,503-326-5651,Non-detained
Seattle Immigration Court,1000 Second Avenue,Suite 2500,Seattle,WA,98104,206-553-5950,Non-detained
Tacoma Immigration Court,1623 East J Street,,Tacoma,WA,98421,253-779-6020,Detained
Honolulu Immigration Court,300 Ala Moana Boulevard,Room 8-156,Honolulu,HI,96850,808-541-1400,Non-detained
Saipan Immigration Court,Horiguchi Building 2nd Floor Beach Road,,Garapan,MP,96950,670-664-1900,Non-detained
San Juan Immigration Court,150 Carlos Chardon Avenue,Suite 360,San Juan,PR,00918,787-766-5365,Non-detained
Guaynabo Immigration Court,Metro Office Park 7,Calle 1 Suite 102,Guaynabo,PR,00968,787-993-5500,Non-detained
Las Cruces Immigration Court,505 South Main Street,Suite 460,Las Cruces,NM,88001,575-526-5077,Non-detained
Otero Immigration Court,26 McGregor Range Road,,Chaparral,NM,88081,575-824-4352,Detained
Cibola Immigration Court,2000 Cibola Loop,,Milan,NM,87021,505-285-6745,Detained
Boise Immigration Court,1109 Main Street,Suite 300,Boise,ID,83702,208-559-2300,Non-detained
Hyattsville-Annapolis Immigration Court,6525 Belcrest Road,Suite 200,Hyattsville,MD,20782,301-779-1600,Non-detained
Concord Immigration Court,275 Chestnut Street,Suite 1700,Manchester,NH,03101,603-792-2700,Non-detained
Louisville Immigration Court,601 West Broadway,Suite 320,Louisville,KY,40202,502-882-6440,Non-detained
Memphis Detained Immigration Court,167 North Main Street,Suite 1100,Memphis,TN,38103,901-544-0260,Detained
Nashville Immigration Court,1255 Lynnfield Road,Suite 168,Memphis,TN,38119,901-202-0950,Non-detained
Fishkill Immigration Court,750 Berme Road,,Napanoch,NY,12458,845-647-4490,Detained
Lasalle Immigration Court,830 Pine Hill Road,,Jena,LA,71342,318-992-7670,Detained
San Francisco - Sansome Immigration Court,630 Sansome Street,Room 1010,San Francisco,CA,94111,415-705-3375,Non-detained
San Antonio Annex Immigration Court,8940 Fourwinds Drive,Suite 200,San Antonio,TX,78239,210-967-7000,Non-detained
Houston Annex Immigration Court,17171 Pine Forest Lane,,Houston,TX,77032,832-553-5300,Non-detained
