facility_name,street_address,city,state,zip,phone,operator,facility_type,aor
Central Louisiana ICE Processing Center,830 Pine Hill Road,Jena,LA,71342,318-992-7670,GEO Group,Contract Detention Facility (CDF),New Orleans
Eloy Detention Center,1705 East Hanna Road,Eloy,AZ,85131,520-464-9244,CoreCivic,Contract Detention Facility (CDF),Phoenix
La Palma Correctional Center,5501 North La Palma Road,Eloy,AZ,85131,520-464-7300,CoreCivic,Contract Detention Facility (CDF),Phoenix
Florence Service Processing Center,3250 North Pinal Parkway,Florence,AZ,85132,520-868-5862,ICE,Service Processing Center (SPC),Phoenix
Central Arizona Florence Correctional Complex,1100 Bowling Road,Florence,AZ,85132,520-868-9802,CoreCivic,Contract Detention Facility (CDF),Phoenix
Adelanto ICE Processing Center,10250 Rancho Road,Adelanto,CA,92301,760-561-6100,GEO Group,Contract Detention Facility (CDF),Los Angeles
Otay Mesa Detention Center,7488 Calzada de la Fuente,San Diego,CA,92154,619-661-9119,CoreCivic,Contract Detention Facility (CDF),San Diego
Imperial Regional Detention Facility,1572 Gateway Road,Calexico,CA,92231,760-768-2400,Management & Training Corp,IGSA,San Diego
Mesa Verde ICE Processing Center,425 Golden State Avenue,Bakersfield,CA,93301,661-322-4501,GEO Group,Contract Detention Facility (CDF),San Francisco
Golden State Annex,611 Frontage Road,McFarland,CA,93250,661-792-2096,GEO Group,IGSA,San Francisco
Yuba County Jail,215 5th Street,Marysville,CA,95901,530-749-5111,Yuba County,IGSA,San Francisco
Stewart Detention Center,146 CCA Road,Lumpkin,GA,31815,229-838-5000,CoreCivic,IGSA,Atlanta
Folkston ICE Processing Center,3026 Scrubby Bluff Road,Folkston,GA,31537,912-496-7500,GEO Group,IGSA,Atlanta
Irwin County Detention Center,132 Cotton Drive,Ocilla,GA,31774,229-468-4121,LaSalle Corrections,IGSA,Atlanta
Otero County Processing Center,26 McGregor Range Road,Chaparral,NM,88081,575-824-4352,Management & Training Corp,Contract Detention Facility (CDF),El Paso
Cibola County Correctional Center,2000 Cibola Loop,Milan,NM,87021,505-285-6745,CoreCivic,IGSA,El Paso
Torrance County Detention Facility,209 County Road A013,Estancia,NM,87016,505-384-9760,CoreCivic,IGSA,El Paso
Krome North Service Processing Center,18201 SW 12th Street,Miami,FL,33194,305-207-2001,ICE,Service Processing Center (SPC),Miami
Broward Transitional Center,3900 North Powerline Road,Pompano Beach,FL,33073,954-973-4000,GEO Group,Contract Detention Facility (CDF),Miami
Glades County Detention Center,1297 East SR 78,Moore Haven,FL,33471,863-946-1600,Glades County,IGSA,Miami
Baker County Detention Center,1 Sheriffs Office Drive,Macclenny,FL,32063,904-259-6960,Baker County,IGSA,Miami
Wakulla County Jail,15 Oak Street,Crawfordville,FL,32327,850-745-7100,Wakulla County,IGSA,Miami
Northwest ICE Processing Center,1623 East J Street,Tacoma,WA,98421,253-779-6000,GEO Group,Contract Detention Facility (CDF),Seattle
Moshannon Valley Processing Center,555 Geo Drive,Philipsburg,PA,16866,814-378-1000,GEO Group,Contract Detention Facility (CDF),Philadelphia
Clinton County Correctional Facility,58 Pine Mountain Road,McElhattan,PA,17748,570-769-7680,Clinton County,IGSA,Philadelphia
Pike County Correctional Facility,175 Pike County Boulevard,Lords Valley,PA,18428,570-296-6111,Pike County,IGSA,Philadelphia
York County Prison,3400 Concord Road,York,PA,17402,717-840-7580,York County,IGSA,Philadelphia
Buffalo Federal Detention Facility,4250 Federal Drive,Batavia,NY,14020,585-343-6300,ICE,Service Processing Center (SPC),Buffalo
Orange County Correctional Facility,110 Wells Farm Road,Goshen,NY,10924,845-291-2600,Orange County,IGSA,New York City
Elizabeth Contract Detention Facility,625 Evans Street,Elizabeth,NJ,07201,908-352-3776,CoreCivic,Contract Detention Facility (CDF),Newark
Bergen County Jail,160 South River Street,Hackensack,NJ,07601,201-336-3500,Bergen County,IGSA,Newark
Essex County Correctional Facility,354 Doremus Avenue,Newark,NJ,07105,973-465-0254,Essex County,IGSA,Newark
Hudson County Correctional Facility,30-35 Hackensack Avenue,Kearny,NJ,07032,201-395-5000,Hudson County,IGSA,Newark
Plymouth County Correctional Facility,26 Long Pond Road,Plymouth,MA,02360,508-830-6200,Plymouth County,IGSA,Boston
Strafford County Department of Corrections,266 County Farm Road,Dover,NH,03820,603-742-3310,Strafford County,IGSA,Boston
Bristol County House of Correction,400 Faunce Corner Road,North Dartmouth,MA,02747,508-995-1311,Bristol County,IGSA,Boston
Suffolk County House of Correction,20 Bradston Street,Boston,MA,02118,617-635-1100,Suffolk County,IGSA,Boston
Etowah County Detention Center,827 Forrest Avenue,Gadsden,AL,35901,256-549-5377,Etowah County,IGSA,New Orleans
Caroline Detention Facility,11093 Lewis B Puller Memorial Highway,Bowling Green,VA,22427,804-633-5841,Immigration Centers of America,IGSA,Washington
Farmville Detention Center,508 Waterworks Road,Farmville,VA,23901,434-395-0317,Immigration Centers of America,IGSA,Washington
Worcester County Detention Center,5022 Joyner Road,Snow Hill,MD,21863,410-632-1336,Worcester County,IGSA,Baltimore
Howard County Detention Center,7301 Waterloo Road,Jessup,MD,20794,410-313-5200,Howard County,IGSA,Baltimore
Boone County Jail,3020 Conrad Lane,Burlington,KY,41005,859-334-2117,Boone County,IGSA,Chicago
Clay County Detention Center,609 East Jackson Street,Brazil,IN,47834,812-446-2535,Clay County,IGSA,Chicago
Pulaski County Detention Center,1058 New Era Road,Ullin,IL,62992,618-845-3500,Pulaski County,IGSA,Chicago
Kenosha County Detention Center,4777 88th Avenue,Kenosha,WI,53144,262-605-5100,Kenosha County,IGSA,Chicago
Dodge Detention Facility,216 West Center Street,Juneau,WI,53039,920-386-3700,Dodge County,IGSA,Chicago
McHenry County Adult Correctional Facility,2200 North Seminary Avenue,Woodstock,IL,60098,815-338-2144,McHenry County,IGSA,Chicago
Calhoun County Correctional Facility,185 East Michigan Avenue,Battle Creek,MI,49014,269-781-0880,Calhoun County,IGSA,Detroit
Chippewa County Correctional Facility,4498 West M-80,Sault Ste Marie,MI,49783,906-495-3312,Chippewa County,IGSA,Detroit
Monroe County Dorm,7000 East Dunbar Road,Monroe,MI,48161,734-240-7700,Monroe County,IGSA,Detroit
Geauga County Safety Center,12450 Merritt Road,Chardon,OH,44024,440-279-2000,Geauga County,IGSA,Detroit
Morrow County Correctional Facility,101 Home Road,Mount Gilead,OH,43338,419-947-7741,Morrow County,IGSA,Detroit
Seneca County Jail,3040 South State Route 100,Tiffin,OH,44883,419-447-3456,Seneca County,IGSA,Detroit
Butler County Jail,705 Hanover Street,Hamilton,OH,45011,513-785-1300,Butler County,IGSA,Detroit
Tri-County Detention Center,1026 Shawnee College Road,Ullin,IL,62992,618-845-3000,LaSalle Corrections,IGSA,Chicago
Polk County Jail,1985 NE 51st Place,Des Moines,IA,50313,515-323-5400,Polk County,IGSA,St Paul
Carver County Jail,606 East 4th Street,Chaska,MN,55318,952-361-1212,Carver County,IGSA,St Paul
Freeborn County Adult Detention Center,411 South Broadway Avenue,Albert Lea,MN,56007,507-377-5260,Freeborn County,IGSA,St Paul
Kandiyohi County Jail,2201 NE 23rd Street,Willmar,MN,56201,320-235-1260,Kandiyohi County,IGSA,St Paul
Sherburne County Jail,13880 Business Center Drive NW,Elk River,MN,55330,763-765-3500,Sherburne County,IGSA,St Paul
Hardin County Jail,1116 14th Avenue,Eldora,IA,50627,641-939-8189,Hardin County,IGSA,St Paul
Linn County Correctional Center,53 3rd Avenue Bridge,Cedar Rapids,IA,52401,319-892-6100,Linn County,IGSA,St Paul
Saline County Jail,251 North 10th Street,Salina,KS,67401,785-826-6500,Saline County,IGSA,Kansas City
Chase County Detention Facility,201 East 11th Street,Imperial,NE,69033,308-882-7565,Chase County,IGSA,Kansas City
Phelps County Jail,1115 Burlington Street,Holdrege,NE,68949,308-995-6531,Phelps County,IGSA,Kansas City
Hall County Department of Corrections,121 South Pine Street,Grand Island,NE,68801,308-385-5200,Hall County,IGSA,Kansas City
Henry County Justice Center,123 East Washington Street,Mount Pleasant,IA,52641,319-385-2712,Henry County,IGSA,St Paul
Aurora ICE Processing Center,3130 North Oakland Street,Aurora,CO,80010,303-361-6612,GEO Group,Contract Detention Facility (CDF),Denver
Teller County Detention Facility,288 West Highway 24,Cripple Creek,CO,80813,719-689-2244,Teller County,IGSA,Denver
Garfield County Jail,107 8th Street,Glenwood Springs,CO,81601,970-945-0453,Garfield County,IGSA,Denver
Park County Detention Center,1131 11th Street,Cody,WY,82414,307-527-8700,Park County,IGSA,Salt Lake City
Cache County Jail,1225 West Valley View Avenue,Logan,UT,84321,435-755-1000,Cache County,IGSA,Salt Lake City
Davis County Jail,800 West State Street,Farmington,UT,84025,801-451-4150,Davis County,IGSA,Salt Lake City
Weber County Correctional Facility,1400 Depot Drive,Ogden,UT,84404,801-778-6700,Weber County,IGSA,Salt Lake City
Henderson Detention Center,18 East Basic Road,Henderson,NV,89015,702-267-5000,Henderson Police,IGSA,Las Vegas
Nye County Detention Center,1520 East Basin Avenue,Pahrump,NV,89060,775-751-7000,Nye County,IGSA,Las Vegas
Northern Oregon Regional Correctional Facility,201 Webber Street,The Dalles,OR,97058,541-298-5136,NORCOR,IGSA,Seattle
Yakima County Department of Corrections,111 North Front Street,Yakima,WA,98901,509-574-1800,Yakima County,IGSA,Seattle
Honolulu Federal Detention Center,351 Elliott Street,Honolulu,HI,96819,808-838-4200,Bureau of Prisons,IGSA,Honolulu
Anchorage Correctional Complex,1400 East 4th Avenue,Anchorage,AK,99501,907-269-4700,Alaska DOC,IGSA,Seattle
Alexandria Staging Facility,830 Pine Hill Road,Alexandria,LA,71303,318-561-5550,GEO Group,Staging Facility,New Orleans
Desert View Annex,10400 Rancho Road,Adelanto,CA,92301,760-561-6100,GEO Group,IGSA,Los Angeles
